"filename", "language", "Properties", "Shell Script", "Kotlin", "SQL", "XML", "YAML", "Markdown", "Batch", "comment", "blank", "total"
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\XmlDDIFragmentBuilder.kt", "Kotlin", 0, 0, 35, 0, 0, 0, 0, 0, 3, 8, 46
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\XmlDDIInstanceBuilder.kt", "Kotlin", 0, 0, 27, 0, 0, 0, 0, 0, 3, 6, 36
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\AbstractAuditFilter.kt", "Kotlin", 0, 0, 54, 0, 0, 0, 0, 0, 3, 7, 64
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\AbstractElementRef.kt", "Kotlin", 0, 0, 65, 0, 0, 0, 0, 0, 5, 14, 84
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\AbstractEntity.kt", "Kotlin", 0, 0, 36, 0, 0, 0, 0, 0, 7, 11, 54
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\AbstractEntityAudit.kt", "Kotlin", 0, 0, 84, 0, 0, 0, 0, 0, 14, 25, 123
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\ConditionNode.kt", "Kotlin", 0, 0, 18, 0, 0, 0, 0, 0, 3, 8, 29
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\ElementLoader.kt", "Kotlin", 0, 0, 39, 0, 0, 0, 0, 0, 4, 5, 48
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\ElementRefNode.kt", "Kotlin", 0, 0, 72, 0, 0, 0, 0, 0, 7, 19, 98
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\ElementRefNodeIter.kt", "Kotlin", 0, 0, 49, 0, 0, 0, 0, 0, 3, 9, 61
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\ParentRef.kt", "Kotlin", 0, 0, 39, 0, 0, 0, 0, 0, 4, 9, 52
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\TreeNodeIter.kt", "Kotlin", 0, 0, 49, 0, 0, 0, 0, 0, 4, 7, 60
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\UriId.kt", "Kotlin", 0, 0, 38, 0, 0, 0, 0, 0, 3, 12, 53
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\Code.kt", "Kotlin", 0, 0, 23, 0, 0, 0, 0, 0, 5, 3, 31
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\ElementRefCondition.kt", "Kotlin", 0, 0, 50, 0, 0, 0, 0, 0, 4, 8, 62
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\ElementRefEmbedded.kt", "Kotlin", 0, 0, 17, 0, 0, 0, 0, 0, 3, 5, 25
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\ElementRefQuestionItem.kt", "Kotlin", 0, 0, 67, 0, 0, 0, 0, 0, 8, 13, 88
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\ElementRefResponseDomain.kt", "Kotlin", 0, 0, 38, 0, 0, 0, 0, 0, 3, 10, 51
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\Parameter.kt", "Kotlin", 0, 0, 29, 0, 0, 0, 0, 0, 12, 10, 51
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\PublicationElement.kt", "Kotlin", 0, 0, 50, 0, 0, 0, 0, 0, 3, 12, 65
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\ResponseCardinality.kt", "Kotlin", 0, 0, 13, 0, 0, 0, 0, 0, 5, 3, 21
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\Version.kt", "Kotlin", 0, 0, 56, 0, 0, 0, 0, 0, 3, 18, 77
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\CategoryRelationCodeType.kt", "Kotlin", 0, 0, 8, 0, 0, 0, 0, 0, 18, 6, 32
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\CategoryType.kt", "Kotlin", 0, 0, 28, 0, 0, 0, 0, 0, 23, 4, 55
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\ConditionKind.kt", "Kotlin", 0, 0, 14, 0, 0, 0, 0, 0, 3, 3, 20
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\ElementKind.kt", "Kotlin", 0, 0, 27, 0, 0, 0, 0, 0, 4, 4, 35
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\HierarchyLevel.kt", "Kotlin", 0, 0, 12, 0, 0, 0, 0, 0, 4, 4, 20
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\InstructionRank.kt", "Kotlin", 0, 0, 4, 0, 0, 0, 0, 0, 3, 2, 9
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\InstrumentKind.kt", "Kotlin", 0, 0, 63, 0, 0, 0, 0, 0, 3, 3, 69
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\ResponseKind.kt", "Kotlin", 0, 0, 9, 0, 0, 0, 0, 0, 19, 1, 29
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\SequenceKind.kt", "Kotlin", 0, 0, 23, 0, 0, 0, 0, 0, 3, 3, 29
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IArchived.kt", "Kotlin", 0, 0, 4, 0, 0, 0, 0, 0, 3, 2, 9
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IAuthorSet.kt", "Kotlin", 0, 0, 13, 0, 0, 0, 0, 0, 7, 4, 24
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IBasedOn.kt", "Kotlin", 0, 0, 36, 0, 0, 0, 0, 0, 9, 12, 57
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IConditionNode.kt", "Kotlin", 0, 0, 12, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IDomainObject.kt", "Kotlin", 0, 0, 10, 0, 0, 0, 0, 0, 7, 3, 20
