Date : 2021-03-01 16:35:28
Directory : c:\Users\stino\projects\kotlin24
Total : 202 files,  6501 codes, 1801 comments, 1536 blanks, all 9838 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\ElementLoader.kt                             | Kotlin       |         39 |          4 |          5 |         48 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\ElementRefNode.kt                            | Kotlin       |         72 |          7 |         19 |         98 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\ElementRefNodeIter.kt                        | Kotlin       |         49 |          3 |          9 |         61 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\ParentRef.kt                                 | Kotlin       |         38 |          4 |          9 |         51 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\TreeNodeIter.kt                              | Kotlin       |         49 |          4 |          7 |         60 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\Code.kt                                     | Kotlin       |         23 |          5 |          3 |         31 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\ElementRefCondition.kt                      | Kotlin       |         50 |          4 |          8 |         62 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\ElementRefEmbedded.kt                       | Kotlin       |         17 |          3 |          5 |         25 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\ElementRefQuestionItem.kt                   | Kotlin       |         69 |          7 |         13 |         89 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\ElementRefResponseDomain.kt                 | Kotlin       |         38 |          3 |         10 |         51 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\Parameter.kt                                | Kotlin       |         29 |         12 |         10 |         51 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\PublicationElement.kt                       | Kotlin       |         52 |          3 |         11 |         66 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\ResponseCardinality.kt                      | Kotlin       |         13 |          5 |          3 |         21 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\Version.kt                                  | Kotlin       |         52 |          3 |         18 |         73 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\CategoryRelationCodeType.kt                    | Kotlin       |          8 |         18 |          6 |         32 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\CategoryType.kt                                | Kotlin       |         28 |         23 |          4 |         55 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\ConditionKind.kt                               | Kotlin       |         15 |          3 |          4 |         22 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\ControlConstructInstructionRank.kt             | Kotlin       |          4 |          3 |          2 |          9 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\ElementKind.kt                                 | Kotlin       |         27 |          4 |          4 |         35 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\HierarchyLevel.kt                              | Kotlin       |         12 |          4 |          4 |         20 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\InstrumentKind.kt                              | Kotlin       |         64 |          3 |          4 |         71 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\ResponseKind.kt                                | Kotlin       |          9 |         19 |          1 |         29 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\SequenceKind.kt                                | Kotlin       |         24 |          3 |          3 |         30 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\exception\ApiError.kt                                | Kotlin       |          7 |          3 |          4 |         14 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\exception\ControllerAdviceExceptionMessage.kt        | Kotlin       |         20 |          8 |          3 |         31 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\exception\ControllerExceptionAdvice.kt               | Kotlin       |        139 |         91 |         11 |        241 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\exception\DescendantsArchivedException.kt            | Kotlin       |         12 |          6 |          4 |         22 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\exception\ExtractFromException.kt                    | Kotlin       |         24 |         18 |          4 |         46 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\exception\FileDownloadException.kt                   | Kotlin       |         11 |          6 |          4 |         21 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\exception\FileNotOwnedException.kt                   | Kotlin       |         14 |          3 |          4 |         21 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\exception\FileUploadException.kt                     | Kotlin       |         11 |          6 |          4 |         21 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\exception\InvalidObjectException.kt                  | Kotlin       |         12 |          6 |          4 |         22 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\exception\InvalidPasswordException.kt                | Kotlin       |         11 |          6 |          5 |         22 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\exception\ReferenceInUseException.kt                 | Kotlin       |         10 |          3 |          5 |         18 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\exception\RequestAbortedException.kt                 | Kotlin       |         17 |          3 |          5 |         25 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\exception\ResourceNotFoundException.kt               | Kotlin       |         17 |          6 |          6 |         29 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\exception\StackTraceFilter.kt                        | Kotlin       |         24 |          3 |          6 |         33 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\exception\UserAlreadyExistsException.kt              | Kotlin       |         10 |          3 |          4 |         17 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\exception\UserNotFoundException.kt                   | Kotlin       |         16 |          3 |          5 |         24 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\BaseArchivedRepository.kt                 | Kotlin       |         13 |          4 |          4 |         21 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\BaseArchivedService.kt                    | Kotlin       |         19 |          5 |          3 |         27 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\BaseRepository.kt                         | Kotlin       |         10 |          7 |          3 |         20 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\BaseService.kt                            | Kotlin       |          8 |         25 |          7 |         40 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\BaseServiceAudit.kt                       | Kotlin       |         17 |         49 |         12 |         78 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IArchived.kt                              | Kotlin       |          4 |          3 |          2 |          9 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IAuthorSet.kt                             | Kotlin       |         13 |          7 |          4 |         24 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IBasedOn.kt                               | Kotlin       |         33 |          9 |         12 |         54 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IChildren.kt                              | Kotlin       |          5 |          5 |          5 |         15 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IConditionNode.kt                         | Kotlin       |         12 |          3 |          3 |         18 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IDomainObject.kt                          | Kotlin       |         10 |          7 |          3 |         20 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IDomainObjectParentRef.kt                 | Kotlin       |          4 |          6 |          2 |         12 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IElementRef.kt                            | Kotlin       |         13 |          3 |          3 |         19 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IEntityFactory.kt                         | Kotlin       |         38 |          3 |          7 |         48 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IOtherMaterialList.kt                     | Kotlin       |         12 |          7 |          4 |         23 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IParameter.kt                             | Kotlin       |          7 |          3 |          3 |         13 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IParentRef.kt                             | Kotlin       |          4 |          0 |          2 |          6 |
